request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_54,7627.04,not_affordable,not_recommended,none,,none,Do not make this payment by 2026-08-21. None of the available options keeps the ZAR 37000.0 minimum protected.
request_55,143561.78,affordable_with_plan,installments,2026-06-11:75781.33|2026-07-12:75781.33|2026-08-12:75781.33,2026-07-15,none,"Use 3 installments of INR 75781.33, starting 2026-06-11. This leaves at least INR 124300.0 available."
request_56,874.18,affordable_with_plan,partial_payment,2025-02-03:874.18|2025-02-15:7.38,2025-02-15,none,"Use 2 installments of USD 437.09, starting 2025-02-03. This leaves at least USD 2100.0 available."
request_57,10169.91,affordable_later,wait,2026-06-15:61446,2026-06-15,none,Pay ZAR 61446.0 in full on 2026-06-15. Paying earlier would take the balance below the ZAR 42700.0 minimum.
request_58,16226000.0,affordable_now,full_payment,2024-12-07:16226000,2024-12-07,none,Pay IDR 16226000.0 today. This leaves at least IDR 14433900.0 available over the next 90 days.
request_59,140600.0,affordable_with_plan,installments,2025-05-07:48741.33|2025-06-04:48741.33|2025-07-02:48741.33,2025-05-04,none,"Use 3 installments of INR 48741.33, starting 2025-05-07. This leaves at least INR 132600.0 available."
request_60,199.89,affordable_now,full_payment,2026-01-06:199.89,2026-01-06,none,Pay USD 199.89 today. This leaves at least USD 400.0 available over the next 90 days.
request_61,29062.0,affordable_with_plan,installments,2024-03-17:10074.83|2024-04-17:10074.83|2024-05-18:10074.83,2024-03-03,none,"Use 3 installments of ZAR 10074.83, starting 2024-03-17. This leaves at least ZAR 36700.0 available."
request_62,404.23,affordable_now,full_payment,2025-08-05:404.23,2025-08-05,none,Pay USD 404.23 today. This leaves at least USD 1300.0 available over the next 90 days.
request_63,66555.88,affordable_with_plan,partial_payment,2026-07-07:66555.88|2026-09-15:277344.12,2026-09-15,none,"Use 2 installments of INR 136950.00, starting 2026-07-07. This leaves at least INR 153500.0 available."
request_64,0.0,not_affordable,not_recommended,none,,none,Do not make this payment by 2024-08-16. None of the available options keeps the INR 36100.0 minimum protected.
request_65,8767.29,not_affordable,not_recommended,none,,none,Do not make this payment by 2025-11-25. None of the available options keeps the ZAR 15500.0 minimum protected.
request_66,22200.0,affordable_now,full_payment,2026-04-03:22200,2026-04-03,none,Pay INR 22200.0 today. This leaves at least INR 80700.0 available over the next 90 days.
request_67,456.1,affordable_later,wait,2024-11-15:2094,2024-11-15,none,Pay USD 2094.0 in full on 2024-11-15. Paying earlier would take the balance below the USD 1200.0 minimum.
request_68,1586.4,affordable_with_plan,installments,2025-02-14:725.09|2025-03-14:725.09|2025-04-11:725.09,2025-02-23,none,"Use 3 installments of USD 725.09, starting 2025-02-14. This leaves at least USD 1500.0 available."
request_69,529.1,affordable_now,full_payment,2026-01-04:529.10,2026-01-04,none,Pay EUR 529.10 today. This leaves at least EUR 700.0 available over the next 90 days.
request_70,53090.31,affordable_later,wait,2025-02-15:243900,2025-02-15,none,Pay INR 243900.0 in full on 2025-02-15. Paying earlier would take the balance below the INR 115000.0 minimum.
request_71,2788275.21,not_affordable,not_recommended,none,,none,Do not make this payment by 2025-05-28. None of the available options keeps the IDR 8884800.0 minimum protected.
request_72,11330.0,affordable_now,full_payment,2026-07-05:11330,2026-07-05,none,Pay ZAR 11330.0 today. This leaves at least ZAR 12200.0 available over the next 90 days.
request_73,71400.0,affordable_now,full_payment,2023-01-20:71400,2023-01-20,none,Pay INR 71400.0 today. This leaves at least INR 103200.0 available over the next 90 days.
request_74,5010.0,affordable_now,full_payment,2025-08-04:5010,2025-08-04,none,Pay ZAR 5010.0 today. This leaves at least ZAR 21900.0 available over the next 90 days.
request_75,28270.0,affordable_with_plan,installments,2026-04-09:9800.27|2026-05-09:9800.27|2026-06-08:9800.27,2026-04-06,none,"Use 3 installments of ZAR 9800.27, starting 2026-04-09. This leaves at least ZAR 39000.0 available."
request_76,862.71,not_affordable,not_recommended,none,,none,Do not make this payment by 2024-07-30. None of the available options keeps the USD 1800.0 minimum protected.
request_77,60700.0,affordable_now,full_payment,2025-11-05:60700,2025-11-05,none,Pay INR 60700.0 today. This leaves at least INR 82200.0 available over the next 90 days.
request_78,0.0,not_affordable,not_recommended,none,,none,Do not make this payment by 2025-10-14. None of the available options keeps the INR 55200.0 minimum protected.
request_79,562.17,not_affordable,not_recommended,none,,none,Do not make this payment by 2024-11-01. None of the available options keeps the EUR 1000.0 minimum protected.
request_80,0.0,not_affordable,not_recommended,none,,none,Do not make this payment by 2025-02-21. None of the available options keeps the INR 121300.0 minimum protected.
request_81,2076.0,affordable_now,full_payment,2026-07-03:2076,2026-07-03,none,Pay USD 2076.0 today. This leaves at least USD 1600.0 available over the next 90 days.
request_82,464.37,not_affordable,not_recommended,none,,none,Do not make this payment by 2025-02-15. None of the available options keeps the USD 1100.0 minimum protected.
request_83,15698.87,not_affordable,not_recommended,none,,none,Do not make this payment by 2025-06-17. None of the available options keeps the INR 37800.0 minimum protected.
request_84,46949.94,affordable_later,wait,2026-04-15:95400,2026-04-15,none,Pay INR 95400.0 in full on 2026-04-15. Paying earlier would take the balance below the INR 91300.0 minimum.
request_85,742726.87,not_affordable,not_recommended,none,,none,Do not make this payment by 2024-04-26. None of the available options keeps the IDR 6396300.0 minimum protected.
request_86,46300.0,affordable_now,full_payment,2025-08-03:46300,2025-08-03,none,Pay INR 46300.0 today. This leaves at least INR 84900.0 available over the next 90 days.
request_87,67355.76,affordable_later,wait,2026-03-15:487900,2026-03-15,none,Pay INR 487900.0 in full on 2026-03-15. Paying earlier would take the balance below the INR 185900.0 minimum.
request_88,10362.06,affordable_with_plan,installments,2024-06-14:9045.23|2024-07-15:9045.23|2024-08-15:9045.23,2024-06-15,none,"Use 3 installments of ZAR 9045.23, starting 2024-06-14. This leaves at least ZAR 25800.0 available."
request_89,12121829.74,affordable_with_plan,installments,2025-11-18:4768746.67|2025-12-16:4768746.67|2026-01-13:4768746.67,2025-11-15,none,"Use 3 installments of IDR 4768746.67, starting 2025-11-18. This leaves at least IDR 12534700.0 available."
request_90,2560.0,affordable_now,full_payment,2026-07-06:2560,2026-07-06,none,Pay ZAR 2560.0 today. This leaves at least ZAR 7600.0 available over the next 90 days.
request_91,788.5,affordable_later,wait,2024-10-15:1927.20,2024-10-15,none,Pay EUR 1927.20 in full on 2024-10-15. Paying earlier would take the balance below the EUR 2100.0 minimum.
request_92,33067.86,affordable_with_plan,full_payment,2025-02-05:34034,2025-04-24,reduce_to:event_8662:910.80,"Stop event_8620 or Reduce event_8620 to 558.80, then pay ZAR 34034.0 today. This leaves at least ZAR 28100.0 available."
request_93,1703.65,affordable_with_plan,full_payment,2026-04-07:1729.20,2026-04-15,reduce_to:event_8730:48,"Stop event_8691, then pay USD 1729.20 today. This leaves at least USD 1900.0 available."
request_94,572.0,affordable_now,full_payment,2024-12-04:572,2024-12-04,none,Pay EUR 572.0 today. This leaves at least EUR 600.0 available over the next 90 days.
request_95,65289.18,not_affordable,not_recommended,none,,none,Do not make this payment by 2025-07-14. None of the available options keeps the INR 145500.0 minimum protected.
request_96,80580.54,affordable_with_plan,installments,2026-01-10:31269.33|2026-02-09:31269.33|2026-03-11:31269.33,2026-01-15,none,"Use 3 installments of INR 31269.33, starting 2026-01-10. This leaves at least INR 56500.0 available."
request_97,1522.66,affordable_with_plan,installments,2024-03-19:8145.28|2024-04-19:8145.28|2024-05-20:8145.28,2024-04-15,none,"Use 3 installments of ZAR 8145.28, starting 2024-03-19. This leaves at least ZAR 29700.0 available."
request_98,13652.94,affordable_later,wait,2025-08-15:27148,2025-08-15,none,Pay ZAR 27148.0 in full on 2025-08-15. Paying earlier would take the balance below the ZAR 30000.0 minimum.
request_99,18062.0,affordable_now,full_payment,2026-07-04:18062,2026-07-04,none,Pay ZAR 18062.0 today. This leaves at least ZAR 49100.0 available over the next 90 days.
request_100,30780.79,affordable_with_plan,installments,2024-06-13:12866.19|2024-07-14:12866.19|2024-08-14:12866.19,2024-06-15,none,"Use 3 installments of ZAR 12866.19, starting 2024-06-13. This leaves at least ZAR 32500.0 available."
request_101,143500.0,affordable_now,full_payment,2025-11-03:143500,2025-11-03,none,Pay INR 143500.0 today. This leaves at least INR 187400.0 available over the next 90 days.
request_102,1716.0,affordable_with_plan,installments,2026-04-05:594.88|2026-05-05:594.88|2026-06-04:594.88,2026-04-05,none,"Use 3 installments of EUR 594.88, starting 2026-04-05. This leaves at least EUR 900.0 available."
request_103,11033.76,not_affordable,not_recommended,none,,none,Do not make this payment by 2024-10-07. None of the available options keeps the INR 125500.0 minimum protected.
request_104,1739.9,not_affordable,not_recommended,none,,none,Do not make this payment by 2025-04-15. None of the available options keeps the ZAR 24700.0 minimum protected.
request_105,53500.0,affordable_now,full_payment,2026-06-08:53500,2026-06-08,none,Pay INR 53500.0 today. This leaves at least INR 73900.0 available over the next 90 days.
request_106,490.83,affordable_later,wait,2025-02-15:2207.70,2025-02-15,none,Pay EUR 2207.70 in full on 2025-02-15. Paying earlier would take the balance below the EUR 1200.0 minimum.
request_107,1309.34,not_affordable,not_recommended,none,,none,Do not make this payment by 2025-07-04. None of the available options keeps the EUR 1600.0 minimum protected.
request_108,4119.89,not_affordable,not_recommended,none,,none,Do not make this payment by 2026-07-26. None of the available options keeps the ZAR 24100.0 minimum protected.
request_109,1068.29,affordable_with_plan,installments,2024-03-18:645.98|2024-04-18:645.98|2024-05-19:645.98,2024-03-15,none,"Use 3 installments of EUR 645.98, starting 2024-03-18. This leaves at least EUR 1700.0 available."
request_110,22352.0,affordable_with_plan,installments,2025-08-06:7748.69|2025-09-03:7748.69|2025-10-01:7748.69,2025-08-06,none,"Use 3 installments of ZAR 7748.69, starting 2025-08-06. This leaves at least ZAR 11200.0 available."
request_111,16625000.0,affordable_now,full_payment,2026-04-03:16625000,2026-04-03,none,Pay IDR 16625000.0 today. This leaves at least IDR 23022800.0 available over the next 90 days.
request_112,271.7,affordable_now,full_payment,2024-06-05:271.70,2024-06-05,none,Pay EUR 271.7 today. This leaves at least EUR 500.0 available over the next 90 days.
request_113,36500.0,affordable_now,full_payment,2026-09-04:36500,2026-09-04,none,Pay INR 36500.0 today. This leaves at least INR 82300.0 available over the next 90 days.
request_114,65300.0,affordable_now,full_payment,2026-01-04:65300,2026-01-04,none,Pay INR 65300.0 today. This leaves at least INR 113400.0 available over the next 90 days.
request_115,14534.65,affordable_later,wait,2024-11-15:80500,2024-11-15,none,Pay INR 80500.0 in full on 2024-11-15. Paying earlier would take the balance below the INR 38800.0 minimum.
request_116,19289.72,not_affordable,not_recommended,none,,none,Do not make this payment by 2025-04-16. None of the available options keeps the INR 80300.0 minimum protected.
request_117,880.0,affordable_now,full_payment,2026-07-05:880,2026-07-05,none,Pay EUR 880.0 today. This leaves at least EUR 1000.0 available over the next 90 days.
request_118,437.0,not_affordable,not_recommended,none,,none,Do not make this payment by 2025-02-08. None of the available options keeps the EUR 600.0 minimum protected.
request_119,81083.84,affordable_with_plan,installments,2025-05-18:70546.67|2025-06-15:70546.67|2025-07-13:70546.67,2025-06-15,none,"Use 3 installments of INR 70546.67, starting 2025-05-18. This leaves at least INR 151200.0 available."
request_120,7714000.0,affordable_now,full_payment,2026-04-06:7714000,2026-04-06,none,Pay IDR 7714000.0 today. This leaves at least IDR 20050300.0 available over the next 90 days.
request_121,633.6,affordable_now,full_payment,2024-03-03:633.60,2024-03-03,none,Pay USD 633.60 today. This leaves at least USD 800.00 available over the next 90 days.
request_122,20558000.0,affordable_with_plan,installments,2025-08-05:7126773.33|2025-09-02:7126773.33|2025-09-30:7126773.33,2025-08-05,none,"Use 3 installments of IDR 7126773.33, starting 2025-08-05. This leaves at least IDR 12588500.00 available."
request_123,4076000.0,affordable_now,full_payment,2026-01-07:4076000,2026-01-07,none,Pay IDR 4076000.00 today. This leaves at least IDR 18091200.00 available over the next 90 days.
request_124,1422.05,affordable_with_plan,installments,2024-06-11:1076.12|2024-07-12:1076.12|2024-08-12:1076.12,2024-07-15,none,"Use 3 installments of EUR 1076.12, starting 2024-06-11. This leaves at least EUR 1600.00 available."
request_125,6468.0,affordable_now,full_payment,2025-11-06:6468,2025-11-06,none,Pay ZAR 6468.00 today. This leaves at least ZAR 11300.00 available over the next 90 days.
request_126,159600.0,affordable_now,full_payment,2026-07-03:159600,2026-07-03,none,Pay INR 159600.0 today. This leaves at least INR 129700.0 available over the next 90 days.
request_127,15388.78,affordable_later,wait,2024-09-15:23980,2024-09-15,none,Pay ZAR 23980.0 in full on 2024-09-15. Paying earlier would take the balance below the ZAR 41000.0 minimum.
request_128,25168.0,affordable_now,full_payment,2025-02-07:25168,2025-02-07,none,Pay ZAR 25168.0 today. This leaves at least ZAR 42600.0 available over the next 90 days.
request_129,107.43,not_affordable,not_recommended,none,,none,Do not make this payment by 2026-06-18. None of the available options keeps the USD 800.0 minimum protected.
request_130,571.38,affordable_later,wait,2025-02-15:1978.80,2025-02-15,none,Pay USD 1978.80 in full on 2025-02-15. Paying earlier would take the balance below the USD 1400.0 minimum.
request_131,1485.31,affordable_with_plan,installments,2025-05-06:643.14|2025-06-03:643.14|2025-07-01:643.14,2025-05-23,none,"Use 3 installments of USD 643.14, starting 2025-05-06. This leaves at least USD 1100.0 available."
request_132,379.86,affordable_now,full_payment,2026-01-05:379.86,2026-01-05,none,Pay USD 379.86 today. This leaves at least USD 1100.0 available over the next 90 days.
request_133,15770000.0,not_affordable,not_recommended,none,,none,Do not make this payment by 2024-03-29. None of the available options keeps the IDR 9986200.0 minimum protected.
request_134,7649426.65,affordable_later,wait,2025-09-15:21831000,2025-09-15,none,Pay IDR 21831000.0 in full on 2025-09-15. Paying earlier would take the balance below the IDR 15902500.0 minimum.
request_135,304.8,affordable_now,full_payment,2026-07-06:304.80,2026-07-06,none,Pay USD 304.8 today. This leaves at least USD 500.0 available over the next 90 days.
request_136,560.4,affordable_now,full_payment,2024-06-03:560.40,2024-06-03,none,Pay USD 560.4 today. This leaves at least USD 1100.0 available over the next 90 days.
request_137,51487.25,affordable_later,wait,2025-11-15:80100,2025-11-15,none,Pay INR 80100.0 in full on 2025-11-15. Paying earlier would take the balance below the INR 71800.0 minimum.
request_138,847.56,affordable_with_plan,partial_payment,2026-04-07:847.56|2026-04-15:409.38,2026-04-15,none,"Use 2 installments of EUR 628.47, starting 2026-04-07. This leaves at least EUR 2300.0 available."
request_139,1444.64,affordable_with_plan,installments,2024-09-07:802.88|2024-10-08:802.88|2024-11-08:802.88,2024-10-15,none,"Use 3 installments of USD 802.88, starting 2024-09-07. This leaves at least USD 1500.0 available."
request_140,2811.5,not_affordable,not_recommended,none,,none,Do not make this payment by 2025-03-04. None of the available options keeps the ZAR 21600.0 minimum protected.
request_141,42003.32,not_affordable,not_recommended,none,,none,Do not make this payment by 2026-02-12. None of the available options keeps the INR 67300.0 minimum protected.
request_142,1263.6,affordable_now,full_payment,2024-12-05:1263.60,2024-12-05,none,Pay USD 1263.6 today. This leaves at least USD 1700.0 available over the next 90 days.
request_143,3697.62,affordable_later,wait,2025-06-15:12584,2025-06-15,none,Pay ZAR 12584.0 in full on 2025-06-15. Paying earlier would take the balance below the ZAR 11300.0 minimum.
request_144,233.34,affordable_now,full_payment,2026-07-04:233.34,2026-07-04,none,Pay USD 233.34 today. This leaves at least USD 600.0 available over the next 90 days.
request_145,0.0,not_affordable,not_recommended,none,,none,Do not make this payment by 2024-05-26. None of the available options keeps the INR 155400.0 minimum protected.
request_146,44509.18,affordable_later,wait,2025-10-15:449400,2025-10-15,none,Pay INR 449400.0 in full on 2025-10-15. Paying earlier would take the balance below the INR 108600.0 minimum.
request_147,335.03,not_affordable,not_recommended,none,,none,Do not make this payment by 2026-06-07. None of the available options keeps the EUR 900.0 minimum protected.
request_148,7206.29,not_affordable,not_recommended,none,,none,Do not make this payment by 2024-08-18. None of the available options keeps the ZAR 20000.0 minimum protected.
request_149,34529.49,affordable_with_plan,installments,2025-11-18:12706.03|2025-12-16:12706.03|2026-01-13:12706.03,2025-11-15,none,"Use 3 installments of ZAR 12706.03, starting 2025-11-18. This leaves at least ZAR 42100.0 available."
request_150,442.93,affordable_with_plan,installments,2026-01-06:171.98|2026-02-05:171.98|2026-03-07:171.98,2026-02-15,none,"Use 3 installments of EUR 171.98, starting 2026-01-06. This leaves at least EUR 700.0 available."
request_151,26999000.0,affordable_now,full_payment,2024-09-03:26999000,2024-09-03,none,Pay IDR 26999000.0 today. This leaves at least IDR 31633600.0 available over the next 90 days.
request_152,12326.13,affordable_with_plan,installments,2025-02-12:4812.43|2025-03-12:4812.43|2025-04-09:4812.43,2025-02-15,none,"Use 3 installments of ZAR 4812.43, starting 2025-02-12. This leaves at least ZAR 11900.0 available."
request_153,365.36,affordable_later,wait,2026-09-15:2830.80,2026-09-15,none,Pay USD 2830.80 in full on 2026-09-15. Paying earlier would take the balance below the USD 1400.0 minimum.
request_154,1625.8,affordable_with_plan,installments,2024-12-04:563.61|2025-01-04:563.61|2025-02-04:563.61,2024-12-04,none,"Use 3 installments of EUR 563.61, starting 2024-12-04. This leaves at least EUR 1300.0 available."
request_155,112500.0,affordable_now,full_payment,2025-05-06:112500,2025-05-06,none,Pay INR 112500.0 today. This leaves at least INR 56300.0 available over the next 90 days.
request_156,8286.05,affordable_later,wait,2026-06-15:43076,2026-06-15,none,Pay ZAR 43076.0 in full on 2026-06-15. Paying earlier would take the balance below the ZAR 26900.0 minimum.
request_157,7224077.23,affordable_later,wait,2024-04-15:23503000,2024-04-15,none,Pay IDR 23503000.0 in full on 2024-04-15. Paying earlier would take the balance below the IDR 15714100.0 minimum.
request_158,242600.0,affordable_with_plan,installments,2025-08-07:84101.33|2025-09-04:84101.33|2025-10-02:84101.33,2025-08-07,none,"Use 3 installments of INR 84101.33, starting 2025-08-07. This leaves at least INR 131400.0 available."
request_159,11529.69,not_affordable,not_recommended,none,,none,Do not make this payment by 2026-03-20. None of the available options keeps the ZAR 8700.0 minimum protected.
request_160,614.98,affordable_with_plan,installments,2024-06-13:432.05|2024-07-14:432.05|2024-08-14:432.05,2024-06-15,none,"Use 3 installments of EUR 432.05, starting 2024-06-13. This leaves at least EUR 1200.0 available."
request_161,0.0,not_affordable,not_recommended,none,,none,Do not make this payment by 2026-01-15. None of the available options keeps the IDR 23010400.0 minimum protected.
request_162,3948854.5,not_affordable,not_recommended,none,,none,Do not make this payment by 2026-08-26. None of the available options keeps the IDR 24161100.0 minimum protected.
request_163,6764121.89,not_affordable,not_recommended,none,,none,Do not make this payment by 2024-11-15. None of the available options keeps the IDR 26728700.0 minimum protected.
request_164,27018000.0,affordable_with_plan,installments,2025-02-11:9366240|2025-03-11:9366240|2025-04-08:9366240,2025-02-04,none,"Use 3 installments of IDR 9366240, starting 2025-02-11. This leaves at least IDR 29550500.0 available."
request_165,80600.0,affordable_now,full_payment,2026-04-06:80600,2026-04-06,none,Pay INR 80600.0 today. This leaves at least INR 95000.0 available over the next 90 days.
request_166,2907.6,affordable_with_plan,installments,2024-12-03:1007.97|2025-01-03:1007.97|2025-02-03:1007.97,2024-12-03,none,"Use 3 installments of USD 1007.97, starting 2024-12-03. This leaves at least USD 1700.0 available."
request_167,43802.0,affordable_now,full_payment,2025-05-05:43802,2025-05-05,none,Pay ZAR 43802.0 today. This leaves at least ZAR 31200.0 available over the next 90 days.
request_168,42883.88,affordable_with_plan,partial_payment,2026-01-07:42883.88|2026-01-15:6496.12,2026-01-15,none,"Use 2 installments of INR 24741.94, starting 2026-01-07. This leaves at least INR 114400.0 available."
request_169,41976.0,affordable_now,full_payment,2024-03-04:41976,2024-03-04,none,Pay ZAR 41976.0 today. This leaves at least ZAR 18700.0 available over the next 90 days.
request_170,33289167.31,affordable_with_plan,installments,2025-08-06:12804480|2025-09-03:12804480|2025-10-01:12804480,2025-08-15,none,"Use 3 installments of IDR 12804480, starting 2025-08-06. This leaves at least IDR 24715800.0 available."
request_171,111.11,not_affordable,not_recommended,none,,none,Do not make this payment by 2026-09-10. None of the available options keeps the EUR 500.0 minimum protected.
request_172,10200.0,affordable_with_plan,installments,2024-06-05:5304|2024-07-03:5304,2024-06-05,none,"Use 2 installments of ZAR 5304, starting 2024-06-05. This leaves at least ZAR 27200.0 available."
request_173,68124.02,affordable_with_plan,installments,2025-11-21:39173.33|2025-12-19:39173.33|2026-01-16:39173.33,2025-11-15,none,"Use 3 installments of INR 39173.33, starting 2025-11-21. This leaves at least INR 79100.0 available."
request_174,1146.2,affordable_with_plan,installments,2026-04-04:397.35|2026-05-04:397.35|2026-06-03:397.35,2026-04-04,none,"Use 3 installments of EUR 397.35, starting 2026-04-04. This leaves at least EUR 700.0 available."
request_175,2346.3,affordable_now,full_payment,2024-09-06:2346.30,2024-09-06,none,Pay EUR 2346.3 today. This leaves at least EUR 1700.0 available over the next 90 days.
request_176,168.13,not_affordable,not_recommended,none,,none,Do not make this payment by 2025-02-27. None of the available options keeps the EUR 600.0 minimum protected.
request_177,1017.6,affordable_now,full_payment,2026-01-05:1017.60,2026-01-05,none,Pay USD 1017.6 today. This leaves at least USD 1300.0 available over the next 90 days.
request_178,2938.1,affordable_with_plan,installments,2024-12-07:1018.54|2025-01-07:1018.54|2025-02-07:1018.54,2024-12-07,none,"Use 3 installments of EUR 1018.54, starting 2024-12-07. This leaves at least EUR 1400.0 available."
request_179,12836297.93,affordable_later,wait,2025-06-15:41648000,2025-06-15,none,Pay IDR 41648000.0 in full on 2025-06-15. Paying earlier would take the balance below the IDR 41430800.0 minimum.
request_180,66500.0,affordable_now,full_payment,2026-07-06:66500,2026-07-06,none,Pay INR 66500.0 today. This leaves at least INR 37300.0 available over the next 90 days.
request_181,903.19,not_affordable,not_recommended,none,,none,Do not make this payment by 2024-04-07. None of the available options keeps the USD 2000.0 minimum protected.
request_182,65714.0,affordable_now,full_payment,2025-08-05:65714,2025-08-05,none,Pay ZAR 65714.0 today. This leaves at least ZAR 31100.0 available over the next 90 days.
request_183,26275504.67,affordable_with_plan,installments,2026-04-10:9313546.67|2026-05-10:9313546.67|2026-06-09:9313546.67,2026-04-15,none,"Use 3 installments of IDR 9313546.67, starting 2026-04-10. This leaves at least IDR 11878300.0 available."
request_184,35371.86,not_affordable,not_recommended,none,,none,Do not make this payment by 2024-07-30. None of the available options keeps the INR 110800.0 minimum protected.
request_185,563.15,affordable_later,wait,2025-12-15:1257.30,2025-12-15,none,Pay EUR 1257.3 in full on 2025-12-15. Paying earlier would take the balance below the EUR 1300.0 minimum.
request_186,9271.18,not_affordable,not_recommended,none,,none,Do not make this payment by 2026-03-15. None of the available options keeps the ZAR 22000.0 minimum protected.
request_187,37460.14,affordable_later,wait,2024-11-15:187500,2024-11-15,none,Pay INR 187500.0 in full on 2024-11-15. Paying earlier would take the balance below the INR 128300.0 minimum.
request_188,137.23,not_affordable,not_recommended,none,,none,Do not make this payment by 2025-03-04. None of the available options keeps the EUR 900.0 minimum protected.
